recommender,TopK,shrink,MAP
ItemKNNCFRecommender,75,114,0.0027242095340008665
ItemKNNCFRecommender,84,129,0.0026319141888965325
ItemKNNCFRecommender,56,118,0.002685673520344468
ItemKNNCFRecommender,78,103,0.0027242095340008665
ItemKNNCFRecommender,65,110,0.0027512165915055163
ItemKNNCFRecommender,68,109,0.002740260898366838
ItemKNNCFRecommender,48,106,0.002565925246503096
ItemKNNCFRecommender,44,120,0.0025043950164335403
ItemKNNCFRecommender,491,100,0.0025035032739687633
ItemKNNCFRecommender,94,114,0.0026892404902035725
ItemKNNCFRecommender,29,114,0.0025487910520013255
ItemKNNCFRecommender,28,118,0.0024366225891105514
ItemKNNCFRecommender,85,109,0.0027052918545695435
ItemKNNCFRecommender,247,113,0.0025449692985808556
ItemKNNCFRecommender,55,100,0.0027525542052026807
ItemKNNCFRecommender,58,110,0.002755229432597009
ItemKNNCFRecommender,62,103,0.002755229432597009
ItemKNNCFRecommender,59,108,0.002755229432597009
ItemKNNCFRecommender,43,103,0.00254299472598028
ItemKNNCFRecommender,71,104,0.0027242095340008665
ItemKNNCFRecommender,50,120,0.002500573263013071
ItemKNNCFRecommender,55,98,0.0027525542052026807
ItemKNNCFRecommender,70,106,0.0027242095340008665
ItemKNNCFRecommender,40,109,0.0025189176794313236
ItemKNNCFRecommender,35,94,0.0025202552931284875
ItemKNNCFRecommender,64,118,0.002685673520344468
ItemKNNCFRecommender,61,110,0.002755229432597009
ItemKNNCFRecommender,49,113,0.002573950928686082
ItemKNNCFRecommender,244,111,0.0024780886137226424
ItemKNNCFRecommender,81,102,0.002697266172386558
ItemKNNCFRecommender,81,27,0.0024671329205839644
ItemKNNCFRecommender,65,111,0.0027512165915055163
ItemKNNCFRecommender,65,116,0.002753000076435069
ItemKNNCFRecommender,56,105,0.002755229432597009
ItemKNNCFRecommender,66,114,0.002747649621646412
ItemKNNCFRecommender,56,105,0.002755229432597009
ItemKNNCFRecommender,59,115,0.002755229432597009
ItemKNNCFRecommender,39,105,0.002520701164360876
ItemKNNCFRecommender,73,117,0.0027242095340008665
ItemKNNCFRecommender,59,100,0.0027525542052026807
ItemKNNCFRecommender,50,125,0.0024925475808300853
ItemKNNCFRecommender,50,109,0.002573950928686082
ItemKNNCFRecommender,42,115,0.002520701164360876
ItemKNNCFRecommender,73,124,0.0026508318683278556
ItemKNNCFRecommender,55,122,0.0026818517669239986
ItemKNNCFRecommender,45,116,0.002577772682106551
ItemKNNCFRecommender,66,110,0.0027458661367168596
ItemKNNCFRecommender,32,106,0.0024609544192208724
ItemKNNCFRecommender,77,117,0.0027242095340008665
ItemKNNCFRecommender,66,120,0.002679622410762058
ItemKNNCFRecommender,91,108,0.0026892404902035725
ItemKNNCFRecommender,80,115,0.002721343218935515
ItemKNNCFRecommender,57,112,0.002755229432597009
ItemKNNCFRecommender,51,111,0.0025550332492547587
ItemKNNCFRecommender,59,112,0.002755229432597009
ItemKNNCFRecommender,58,112,0.002755229432597009
ItemKNNCFRecommender,50,112,0.002573950928686082
ItemKNNCFRecommender,58,106,0.002755229432597009
ItemKNNCFRecommender,39,119,0.0024495528548498058
ItemKNNCFRecommender,65,110,0.0027512165915055163
ItemKNNCFRecommender,63,111,0.002755229432597009
ItemKNNCFRecommender,55,103,0.002755229432597009
ItemKNNCFRecommender,70,113,0.0027242095340008665
ItemKNNCFRecommender,285,96,0.0025282809753114726
ItemKNNCFRecommender,57,185,0.0026031236464623304
